Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-gematik-de-hdc.json	9007	-	0	0	0	0	0	0	17	213	0	0	0	0	0	0	2	0	179	324	0	0	0	5	0	3
input/examples/Example_DeviceMetric_Glucometer.json	711	13	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	39	110	0	0	1	0	0	0
input/examples/Example_Device_Glucometer.json	339	12	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	29	110	0	0	0	0	0	0
input/examples/Example_Observation_Blood_Glucose.json	670	12	0	0	1	0	0	0	0	123	0	0	0	0	0	0	0	0	29	123	0	0	0	0	0	0
input/examples/Example_Observation_CGM_Measurement_Series.json	1650	12	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	33	142	0	0	0	0	0	0
input/resources/GEM_HDC_Profile_DeviceMetric_HiMi.json	2548	13	0	139	0	0	0	1	0	129	0	0	0	0	0	0	1	0	231	1968	0	0	0	4	0	1
input/resources/GEM_HDC_Profile_Device_HiMi.json	1881	13	0	53	0	0	0	0	0	60	0	1	0	0	0	0	4	0	470	1591	0	1	0	8	0	0
input/resources/GEM_HDC_Profile_Observation_Blood_Glucose.json	2491	13	0	142	0	0	0	0	0	68	0	0	0	0	0	0	1	0	625	1857	0	0	0	13	0	1
input/resources/GEM_HDC_Profile_Observation_Tissue_Glucose_CGM.json	5911	15	0	177	1	0	0	0	1	85	0	0	0	0	0	0	2	0	787	1802	0	0	0	12	0	1
input/resources/GEM_HDC_VS_Blood_Glucose.json	997	9	0	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	60	1094	0	0	0	1	0	0
input/resources/GEM_HDC_VS_Blood_Glucose_Units.json	800	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	56	135	0	0	0	0	0	0
input/resources/GEM_HDC_VS_Tissue_Glucose_CGM.json	807	2	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	49	127	0	0	0	1	0	0
